,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
175,Austin Rivers,4,0,7,0,0,0,11,0,0,0.0,0,0.0
176,Kyrie Irving,7,0,33,4,6,0,58,1,4,3.67,1,0.92
177,Grant Williams,2,0,17,0,2,0,4,1,0,0.0,1,3.85
178,Michael Frazier,1,0,1,0,0,0,0,0,0,0.0,0,0.0
179,Doc Rivers,0,0,0,0,0,0,0,0,0,0.0,0,0.0
180,Cody Martin,1,0,10,1,3,1,6,0,2,9.09,0,0.0
181,Joe Harris,12,0,47,1,11,1,50,5,2,1.57,5,3.94
182,Josh Jackson,3,0,5,0,1,1,5,1,1,6.25,1,6.25
183,Rudy Gobert,29,0,103,9,17,1,72,4,10,4.26,4,1.7
184,Marcus Morris Sr.,7,0,28,3,12,0,42,1,3,3.23,1,1.08
185,Giannis Antetokounmpo,18,1,46,4,25,0,51,2,4,2.72,3,2.04
186,Hornets,3,0,1,0,2,0,16,5,0,0.0,5,18.52
187,Cheick Diallo,0,0,3,1,0,0,0,0,1,25.0,0,0.0
188,Kevin Huerter,7,0,23,4,3,0,24,1,4,6.45,1,1.61
189,Tyler Herro,2,0,18,0,4,2,26,1,2,3.77,1,1.89
190,Shaun Livingston,0,0,3,0,0,0,2,1,0,0.0,1,16.67
191,Larry Nance Jr.,8,0,28,0,4,0,19,3,0,0.0,3,4.84
192,Vince Carter,13,0,18,2,5,0,14,0,2,3.85,0,0.0
193,Bradley Beal,10,0,30,6,18,0,81,3,6,4.05,3,2.03
194,Pascal Siakam,18,0,70,2,30,0,57,4,2,1.1,4,2.21
195,Goga Bitadze,1,1,0,1,0,0,0,0,1,33.33,1,33.33
196,Deonte Burton,1,0,0,0,0,0,2,1,0,0.0,1,25.0
197,Jamal Murray,11,1,53,1,23,1,79,6,2,1.14,7,4.0
198,Cavaliers,3,0,2,0,1,0,5,2,0,0.0,2,15.38
199,Clint Capela,4,0,37,4,2,0,19,3,4,5.8,3,4.35
200,CJ McCollum,13,1,40,3,9,0,51,6,3,2.44,7,5.69
201,Monte Morris,4,0,10,0,3,1,8,0,1,3.85,0,0.0
202,Tyus Jones,1,0,5,0,2,0,4,1,0,0.0,1,7.69
203,Khem Birch,0,0,9,1,2,0,3,1,1,6.25,1,6.25
204,PJ Tucker,6,0,38,2,4,0,24,1,2,2.67,1,1.33
205,Gary Clark,0,0,1,0,1,0,0,0,0,0.0,0,0.0
206,Terence Davis,0,0,7,0,0,0,1,0,0,0.0,0,0.0
207,Bam Adebayo,20,0,122,7,17,2,67,3,9,3.78,3,1.26
208,Denzel Valentine,0,0,2,0,0,0,1,0,0,0.0,0,0.0
209,Davis Bertans,6,0,18,1,4,0,12,2,1,2.33,2,4.65
210,Grizzlies,2,0,0,2,5,0,15,4,2,7.14,4,14.29
211,Alex Caruso,2,0,19,1,5,0,20,1,1,2.08,1,2.08
212,Luka Doncic,17,1,41,5,21,1,95,9,6,3.16,10,5.26
213,De'Aaron Fox,12,0,32,4,19,1,59,3,5,3.85,3,2.31
214,Mikal Bridges,12,0,29,3,10,1,29,3,4,4.6,3,3.45
215,Norman Powell,5,1,26,1,10,1,19,1,2,3.13,2,3.13
216,Marvin Williams,6,0,27,4,4,0,6,0,4,8.51,0,0.0
217,Nicolo Melli,2,0,7,0,0,0,6,1,0,0.0,1,6.25
218,Devin Booker,14,2,35,8,34,0,62,6,8,4.97,8,4.97
219,Raul Neto,0,0,2,1,1,0,1,0,1,20.0,0,0.0
220,Cristiano Felicio,0,0,12,0,1,0,1,0,0,0.0,0,0.0
221,Bismack Biyombo,3,0,34,2,4,0,15,2,2,3.33,2,3.33
222,Brandon Clarke,4,1,10,0,1,0,10,1,0,0.0,2,7.41
223,Willie Cauley-Stein,4,0,36,0,4,0,8,2,0,0.0,2,3.7
224,Ben McLemore,0,0,4,0,0,0,5,1,0,0.0,1,10.0
225,Juancho Hernangomez,2,0,5,0,0,1,8,0,1,6.25,0,0.0
226,Patrick Beverley,6,1,24,2,1,0,23,1,2,3.45,2,3.45
227,Maxi Kleber,13,0,52,3,3,0,29,2,3,2.94,2,1.96
228,Malik Beasley,5,0,10,0,5,0,10,0,0,0.0,0,0.0
229,Karl-Anthony Towns,9,1,49,6,6,0,37,2,6,5.45,3,2.73
230,Jordan Poole,1,0,1,0,0,0,2,0,0,0.0,0,0.0
231,Anthony Tolliver,3,0,9,0,2,0,2,1,0,0.0,1,5.88
232,Georges Niang,0,0,1,1,0,0,1,0,1,33.33,0,0.0
233,Steven Adams,11,0,125,9,12,1,40,3,10,4.98,3,1.49
234,Kenrich Williams,7,0,17,1,1,0,7,1,1,2.94,1,2.94
235,Taj Gibson,2,0,26,0,3,0,12,1,0,0.0,1,2.27
236,Quinn Cook,1,0,0,0,0,0,0,0,0,0.0,0,0.0
237,T.J. McConnell,0,0,1,0,1,0,0,0,0,0.0,0,0.0
238,Ante Zizic,1,0,10,3,1,0,5,0,3,15.0,0,0.0
239,Dwayne Bacon,3,0,11,0,1,1,10,0,1,3.85,0,0.0
240,Doug McDermott,1,0,4,0,0,0,1,0,0,0.0,0,0.0
241,Jonathan Isaac,5,0,5,1,2,0,9,1,1,4.35,1,4.35
242,Garrett Temple,3,0,17,1,3,0,14,3,1,2.44,3,7.32
243,Keita Bates-Diop,3,0,6,0,2,0,9,1,0,0.0,1,4.76
244,Jerome Robinson,0,0,1,0,0,1,1,1,1,25.0,1,25.0
245,Glenn Robinson III,8,0,10,1,0,0,14,0,1,3.03,0,0.0
246,Matisse Thybulle,2,0,8,1,3,0,5,0,1,5.26,0,0.0
247,Kevin Knox,0,0,3,1,0,0,4,0,1,12.5,0,0.0
248,James Ennis III,2,0,12,0,1,0,11,0,0,0.0,0,0.0
249,Khris Middleton,10,0,37,3,10,1,40,2,4,3.88,2,1.94
250,Thomas Bryant,9,1,41,4,4,0,26,1,4,4.65,2,2.33
251,Solomon Hill,3,0,12,2,3,0,12,1,2,6.06,1,3.03
252,Robin Lopez,1,0,33,3,1,2,14,0,5,9.26,0,0.0
253,Tim Frazier,1,0,3,0,0,0,2,0,0,0.0,0,0.0
254,Wes Iwundu,2,0,6,0,0,0,9,0,0,0.0,0,0.0
255,Ish Smith,0,0,5,0,1,0,6,0,0,0.0,0,0.0
256,Allonzo Trier,3,0,1,0,2,1,11,1,1,5.26,1,5.26
257,Chris Silva,0,0,1,1,1,0,1,0,1,25.0,0,0.0
258,Dennis Smith Jr.,0,0,8,0,1,0,9,0,0,0.0,0,0.0
259,E'Twaun Moore,0,0,6,1,1,0,3,0,1,9.09,0,0.0
260,Frank Kaminsky,6,0,14,5,4,0,9,0,5,13.16,0,0.0
261,Magic,4,0,0,1,2,0,10,3,1,5.0,3,15.0
262,Brandon Knight,1,0,3,0,2,0,7,0,0,0.0,0,0.0
263,Lakers,3,0,0,0,7,0,19,9,0,0.0,9,23.68
264,Carmelo Anthony,4,0,20,3,4,0,13,2,3,6.52,2,4.35
265,TJ Leaf,1,0,3,0,0,0,0,0,0,0.0,0,0.0
266,Kevin Knox II,2,0,2,0,0,0,0,0,0,0.0,0,0.0
267,Elfrid Payton,14,0,37,4,7,0,41,7,4,3.64,7,6.36
268,Jeremy Lamb,3,0,10,1,9,0,30,3,1,1.79,3,5.36
269,P.J. Washington,7,0,30,1,4,1,16,2,2,3.28,2,3.28
270,Kyle Korver,4,0,1,1,1,0,3,1,1,9.09,1,9.09
271,Jeremiah Martin,0,0,1,0,0,0,0,0,0,0.0,0,0.0
272,Admiral Schofield,1,0,3,0,0,0,0,0,0,0.0,0,0.0
273,Nets,1,0,2,1,4,0,16,4,1,3.57,4,14.29
274,Wilson Chandler,4,0,4,1,0,0,4,0,1,7.69,0,0.0
275,Devon Hall,2,0,6,0,2,0,1,0,0,0.0,0,0.0
276,Brandon Goodwin,1,0,3,0,1,0,6,0,0,0.0,0,0.0
277,JaMychal Green,4,0,17,1,3,0,10,0,1,2.86,0,0.0
278,LaMarcus Aldridge,6,1,73,6,16,1,38,3,7,4.86,4,2.78
279,Alfonzo McKinnie,1,0,4,0,1,0,4,0,0,0.0,0,0.0
280,Kyle Kuzma,8,0,29,1,2,0,15,0,1,1.82,0,0.0
281,Daniel Gafford,0,0,6,0,0,0,6,2,0,0.0,2,14.29
282,Robert Covington,10,0,31,2,6,0,33,0,2,2.44,0,0.0
283,Svi Mykhailiuk,3,0,6,0,0,0,6,0,0,0.0,0,0.0
284,Luguentz Dort,3,0,12,0,0,2,5,0,2,9.09,0,0.0
285,Dewayne Dedmon,5,0,24,0,3,0,9,0,0,0.0,0,0.0
286,Shaquille Harrison,4,1,11,1,5,0,11,1,1,2.94,2,5.88
287,Hassan Whiteside,3,0,31,2,4,0,13,3,2,3.57,3,5.36
288,76ers,5,0,1,1,6,0,14,7,1,2.94,7,20.59
289,Justin Holiday,8,0,22,0,5,0,30,3,0,0.0,3,4.41
290,Jordan McLaughlin,0,0,1,0,1,0,4,0,0,0.0,0,0.0
291,Jake Layman,4,0,3,0,2,0,3,1,0,0.0,1,7.69
292,Ricky Rubio,11,0,24,1,13,0,35,1,1,1.18,1,1.18
293,Aaron Holiday,8,0,15,1,3,0,22,2,1,1.96,2,3.92
294,Paul Watson,0,0,1,0,1,0,1,0,0,0.0,0,0.0
295,Rudy Gay,4,1,30,1,4,1,25,0,2,3.03,1,1.52
296,Buddy Hield,25,1,64,2,14,0,63,2,2,1.17,3,1.75
297,Zion Williamson,2,0,13,0,3,0,9,0,0,0.0,0,0.0
298,Jahlil Okafor,0,0,13,1,1,0,1,1,1,5.88,1,5.88
299,Ky Bowman,4,0,5,0,0,0,9,0,0,0.0,0,0.0
300,Chris Chiozza,0,0,2,0,0,0,2,0,0,0.0,0,0.0
301,Dennis Schroder,16,1,48,10,19,0,53,1,10,6.76,2,1.35
302,Javonte Green,1,0,0,0,0,0,0,0,0,0.0,0,0.0
303,Naz Reid,1,0,0,0,0,0,1,0,0,0.0,0,0.0
304,Ray Spalding,0,0,1,0,0,0,1,0,0,0.0,0,0.0
305,Isaac Bonga,4,1,5,0,1,0,4,0,0,0.0,1,6.67
306,Luke Kornet,1,0,1,0,0,0,0,0,0,0.0,0,0.0
307,Zylan Cheatham,0,0,1,0,0,0,1,0,0,0.0,0,0.0
308,Dwyane Wade,3,0,17,1,2,0,19,1,1,2.33,1,2.33
309,Tyler Cavanaugh,0,0,2,1,0,0,0,0,1,33.33,0,0.0
310,Joel Embiid,14,1,77,2,29,1,74,1,3,1.51,2,1.01
311,Malik Monk,0,0,6,0,0,0,6,0,0,0.0,0,0.0
312,Klay Thompson,7,0,31,3,1,0,26,2,3,4.29,2,2.86
