,0
0021800936,https://official.nba.com/l2m/L2MReport.html?gameId=0021800936
0041800305,https://official.nba.com/l2m/L2MReport.html?gameId=0041800305
0041800306,https://official.nba.com/l2m/L2MReport.html?gameId=0041800306
0041800301,https://official.nba.com/l2m/L2MReport.html?gameId=0041800301
0041800303,https://official.nba.com/l2m/L2MReport.html?gameId=0041800303
0021801204,https://official.nba.com/l2m/L2MReport.html?gameId=0021801204
0021801206,https://official.nba.com/l2m/L2MReport.html?gameId=0021801206
0021801207,https://official.nba.com/l2m/L2MReport.html?gameId=0021801207
0021801201,https://official.nba.com/l2m/L2MReport.html?gameId=0021801201
0021801203,https://official.nba.com/l2m/L2MReport.html?gameId=0021801203
0021800885,https://official.nba.com/l2m/L2MReport.html?gameId=0021800885
0021800884,https://official.nba.com/l2m/L2MReport.html?gameId=0021800884
0021800886,https://official.nba.com/l2m/L2MReport.html?gameId=0021800886
0021801208,https://official.nba.com/l2m/L2MReport.html?gameId=0021801208
0021800883,https://official.nba.com/l2m/L2MReport.html?gameId=0021800883
0021800916,https://official.nba.com/l2m/L2MReport.html?gameId=0021800916
